original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
1,img_1,2585,1560,Outillage de jardin,Mobilier
4,img_4,10,2403,Livres occasion,Lots livres et magazines
8,img_8,2582,40,Mobilier et accessoires de jardin,Jeux consoles neuf
10,img_10,1940,1280,Épicerie,Jouets enfant
13,img_13,2403,2280,Lots livres et magazines,Journaux et revues occasion
15,img_15,1280,1560,Jouets enfant,Mobilier
19,img_19,2583,2585,Piscine et accessoires,Outillage de jardin
20,img_20,2060,1280,Décoration,Jouets enfant
22,img_22,1140,1280,Objets pop culture,Jouets enfant
23,img_23,40,1281,Jeux consoles neuf,Jeux enfant
24,img_24,1281,1940,Jeux enfant,Épicerie
26,img_26,2705,2403,Livres neufs,Lots livres et magazines
28,img_28,2403,2280,Lots livres et magazines,Journaux et revues occasion
29,img_29,1302,2583,Jeux et accessoires de plein air,Piscine et accessoires
31,img_31,1320,1280,Puériculture,Jouets enfant
33,img_33,10,2280,Livres occasion,Journaux et revues occasion
34,img_34,1280,1300,Jouets enfant,Modélisme
38,img_38,1140,1920,Objets pop culture,Linge de maison
42,img_42,10,2705,Livres occasion,Livres neufs
46,img_46,2462,1140,Console et Jeux vidéos occasion,Objets pop culture
47,img_47,50,2583,Accessoires gaming,Piscine et accessoires
52,img_52,1280,1560,Jouets enfant,Mobilier
55,img_55,40,1160,Jeux consoles neuf,Cartes de jeux
61,img_61,2583,2403,Piscine et accessoires,Lots livres et magazines
63,img_63,2522,1560,Fournitures papeterie,Mobilier
68,img_68,2060,2585,Décoration,Outillage de jardin
71,img_71,2582,2583,Mobilier et accessoires de jardin,Piscine et accessoires
72,img_72,1280,1920,Jouets enfant,Linge de maison
77,img_77,2522,2583,Fournitures papeterie,Piscine et accessoires
81,img_81,40,10,Jeux consoles neuf,Livres occasion
84,img_84,2582,2522,Mobilier et accessoires de jardin,Fournitures papeterie
87,img_87,40,1300,Jeux consoles neuf,Modélisme
88,img_88,2462,1160,Console et Jeux vidéos occasion,Cartes de jeux
91,img_91,1300,1280,Modélisme,Jouets enfant
93,img_93,2582,1560,Mobilier et accessoires de jardin,Mobilier
94,img_94,2585,1301,Outillage de jardin,Lingerie enfant et jeu de bar
101,img_101,2585,1320,Outillage de jardin,Puériculture
102,img_102,2522,1280,Fournitures papeterie,Jouets enfant
106,img_106,1301,2583,Lingerie enfant et jeu de bar,Piscine et accessoires
111,img_111,40,2280,Jeux consoles neuf,Journaux et revues occasion
112,img_112,2403,1281,Lots livres et magazines,Jeux enfant
114,img_114,2462,1281,Console et Jeux vidéos occasion,Jeux enfant
118,img_118,2220,1300,Animalerie,Modélisme
119,img_119,10,2705,Livres occasion,Livres neufs
120,img_120,40,2522,Jeux consoles neuf,Fournitures papeterie
132,img_132,2060,1560,Décoration,Mobilier
135,img_135,2522,2585,Fournitures papeterie,Outillage de jardin
136,img_136,1140,1280,Objets pop culture,Jouets enfant
141,img_141,1281,2280,Jeux enfant,Journaux et revues occasion
142,img_142,40,60,Jeux consoles neuf,Consoles de jeux
143,img_143,1320,1560,Puériculture,Mobilier
145,img_145,1300,1280,Modélisme,Jouets enfant
148,img_148,50,1140,Accessoires gaming,Objets pop culture
154,img_154,1302,2220,Jeux et accessoires de plein air,Animalerie
155,img_155,1320,1560,Puériculture,Mobilier
156,img_156,2060,2582,Décoration,Mobilier et accessoires de jardin
157,img_157,1301,2522,Lingerie enfant et jeu de bar,Fournitures papeterie
160,img_160,1302,2220,Jeux et accessoires de plein air,Animalerie
163,img_163,2582,2060,Mobilier et accessoires de jardin,Décoration
164,img_164,1281,1140,Jeux enfant,Objets pop culture
167,img_167,2060,10,Décoration,Livres occasion
173,img_173,1140,2060,Objets pop culture,Décoration
175,img_175,1302,2060,Jeux et accessoires de plein air,Décoration
180,img_180,10,2403,Livres occasion,Lots livres et magazines
181,img_181,2462,40,Console et Jeux vidéos occasion,Jeux consoles neuf
183,img_183,2403,2280,Lots livres et magazines,Journaux et revues occasion
184,img_184,1280,1300,Jouets enfant,Modélisme
185,img_185,50,2582,Accessoires gaming,Mobilier et accessoires de jardin
186,img_186,1320,1302,Puériculture,Jeux et accessoires de plein air
189,img_189,1302,2583,Jeux et accessoires de plein air,Piscine et accessoires
192,img_192,50,1281,Accessoires gaming,Jeux enfant
