original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
0,img_0,1140,1301,Objets pop culture,Lingerie enfant et jeu de bar
1,img_1,2060,1560,Décoration,Mobilier
2,img_2,1300,2583,Modélisme,Piscine et accessoires
4,img_4,10,2403,Livres occasion,Lots livres et magazines
5,img_5,40,10,Jeux consoles neuf,Livres occasion
8,img_8,1140,40,Objets pop culture,Jeux consoles neuf
10,img_10,2522,1280,Fournitures papeterie,Jouets enfant
15,img_15,1281,1560,Jeux enfant,Mobilier
17,img_17,2403,1920,Lots livres et magazines,Linge de maison
20,img_20,2060,1280,Décoration,Jouets enfant
22,img_22,1140,1280,Objets pop culture,Jouets enfant
23,img_23,2280,1281,Journaux et revues occasion,Jeux enfant
24,img_24,10,1940,Livres occasion,Épicerie
26,img_26,2705,2403,Livres neufs,Lots livres et magazines
28,img_28,2403,2280,Lots livres et magazines,Journaux et revues occasion
29,img_29,1140,2583,Objets pop culture,Piscine et accessoires
30,img_30,2403,2462,Lots livres et magazines,Console et Jeux vidéos occasion
31,img_31,1320,1280,Puériculture,Jouets enfant
33,img_33,40,2280,Jeux consoles neuf,Journaux et revues occasion
36,img_36,2280,1160,Journaux et revues occasion,Cartes de jeux
38,img_38,2060,1920,Décoration,Linge de maison
39,img_39,1281,2060,Jeux enfant,Décoration
40,img_40,40,1140,Jeux consoles neuf,Objets pop culture
46,img_46,1281,1140,Jeux enfant,Objets pop culture
47,img_47,50,2583,Accessoires gaming,Piscine et accessoires
52,img_52,1302,1560,Jeux et accessoires de plein air,Mobilier
55,img_55,60,1160,Consoles de jeux,Cartes de jeux
56,img_56,2582,1302,Mobilier et accessoires de jardin,Jeux et accessoires de plein air
61,img_61,2060,2403,Décoration,Lots livres et magazines
63,img_63,2582,1560,Mobilier et accessoires de jardin,Mobilier
68,img_68,2060,2585,Décoration,Outillage de jardin
71,img_71,2060,2583,Décoration,Piscine et accessoires
72,img_72,1280,1920,Jouets enfant,Linge de maison
74,img_74,10,2280,Livres occasion,Journaux et revues occasion
77,img_77,2585,2583,Outillage de jardin,Piscine et accessoires
81,img_81,2280,10,Journaux et revues occasion,Livres occasion
84,img_84,1920,2522,Linge de maison,Fournitures papeterie
87,img_87,1560,1300,Mobilier,Modélisme
88,img_88,2462,1160,Console et Jeux vidéos occasion,Cartes de jeux
89,img_89,2280,2403,Journaux et revues occasion,Lots livres et magazines
91,img_91,1300,1280,Modélisme,Jouets enfant
93,img_93,2582,1560,Mobilier et accessoires de jardin,Mobilier
94,img_94,2585,1301,Outillage de jardin,Lingerie enfant et jeu de bar
95,img_95,50,2462,Accessoires gaming,Console et Jeux vidéos occasion
101,img_101,2585,1320,Outillage de jardin,Puériculture
102,img_102,1281,1280,Jeux enfant,Jouets enfant
106,img_106,50,2583,Accessoires gaming,Piscine et accessoires
111,img_111,2462,2280,Console et Jeux vidéos occasion,Journaux et revues occasion
114,img_114,2403,1281,Lots livres et magazines,Jeux enfant
118,img_118,50,1300,Accessoires gaming,Modélisme
119,img_119,10,2705,Livres occasion,Livres neufs
120,img_120,2220,2522,Animalerie,Fournitures papeterie
132,img_132,2060,1560,Décoration,Mobilier
135,img_135,2522,2585,Fournitures papeterie,Outillage de jardin
136,img_136,1300,1280,Modélisme,Jouets enfant
141,img_141,2462,2280,Console et Jeux vidéos occasion,Journaux et revues occasion
142,img_142,40,60,Jeux consoles neuf,Consoles de jeux
143,img_143,1320,1560,Puériculture,Mobilier
144,img_144,10,2280,Livres occasion,Journaux et revues occasion
145,img_145,1300,1280,Modélisme,Jouets enfant
148,img_148,50,1140,Accessoires gaming,Objets pop culture
154,img_154,1302,2220,Jeux et accessoires de plein air,Animalerie
156,img_156,1280,2582,Jouets enfant,Mobilier et accessoires de jardin
158,img_158,1280,1300,Jouets enfant,Modélisme
160,img_160,1302,2220,Jeux et accessoires de plein air,Animalerie
163,img_163,2585,2060,Outillage de jardin,Décoration
168,img_168,2060,1560,Décoration,Mobilier
169,img_169,2705,2280,Livres neufs,Journaux et revues occasion
172,img_172,40,1281,Jeux consoles neuf,Jeux enfant
173,img_173,1140,2060,Objets pop culture,Décoration
175,img_175,1302,2060,Jeux et accessoires de plein air,Décoration
180,img_180,10,2403,Livres occasion,Lots livres et magazines
181,img_181,1281,40,Jeux enfant,Jeux consoles neuf
183,img_183,2403,2280,Lots livres et magazines,Journaux et revues occasion
