original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,1301,0.9297708,1301,Lingerie enfant et jeu de bar
1,img_1,2585,0.17338043,1560,Outillage de jardin
2,img_2,2583,0.50669956,2583,Piscine et accessoires
3,img_3,1160,0.979803,1160,Cartes de jeux
4,img_4,10,0.59401476,2403,Livres occasion
5,img_5,10,0.82368064,10,Livres occasion
6,img_6,2060,0.39862186,2060,Décoration
7,img_7,2583,0.8626719,2583,Piscine et accessoires
8,img_8,2582,0.12433706,40,Mobilier et accessoires de jardin
9,img_9,2905,0.9494253,2905,Jeux PC en téléchargement
10,img_10,1940,0.20948933,1280,Épicerie
11,img_11,2280,0.39487395,2280,Journaux et revues occasion
12,img_12,2522,0.9886785,2522,Fournitures papeterie
13,img_13,2403,0.43747014,2280,Lots livres et magazines
14,img_14,2280,0.8797246,2280,Journaux et revues occasion
15,img_15,1280,0.17156804,1560,Jouets enfant
16,img_16,2522,0.9451764,2522,Fournitures papeterie
17,img_17,1920,0.27273777,1920,Linge de maison
18,img_18,2280,0.8895379,2280,Journaux et revues occasion
19,img_19,2583,0.2917286,2585,Piscine et accessoires
20,img_20,2060,0.7739845,1280,Décoration
21,img_21,2280,0.909476,2280,Journaux et revues occasion
22,img_22,1140,0.5646399,1280,Objets pop culture
23,img_23,40,0.084612764,1281,Jeux consoles neuf
24,img_24,1281,0.15580392,1940,Jeux enfant
25,img_25,1560,0.64903927,1560,Mobilier
26,img_26,2705,0.6803526,2403,Livres neufs
27,img_27,1300,0.4066692,1300,Modélisme
28,img_28,2403,0.95331615,2280,Lots livres et magazines
29,img_29,1302,0.5005549,2583,Jeux et accessoires de plein air
30,img_30,2462,0.37415355,2462,Console et Jeux vidéos occasion
31,img_31,1320,0.27547413,1280,Puériculture
32,img_32,40,0.6882213,40,Jeux consoles neuf
33,img_33,10,0.23757955,2280,Livres occasion
34,img_34,1280,0.5411173,1300,Jouets enfant
35,img_35,1160,0.9204016,1160,Cartes de jeux
36,img_36,1160,0.71230596,1160,Cartes de jeux
37,img_37,1320,0.41271108,1320,Puériculture
38,img_38,1140,0.15825503,1920,Objets pop culture
39,img_39,2060,0.20893031,2060,Décoration
40,img_40,1140,0.62461984,1140,Objets pop culture
41,img_41,1300,0.49082497,1300,Modélisme
42,img_42,10,0.7016361,2705,Livres occasion
43,img_43,1140,0.3230306,1140,Objets pop culture
44,img_44,2582,0.49053997,2582,Mobilier et accessoires de jardin
45,img_45,50,0.95519507,50,Accessoires gaming
46,img_46,2462,0.72602427,1140,Console et Jeux vidéos occasion
47,img_47,50,0.42039713,2583,Accessoires gaming
48,img_48,1940,0.9613567,1940,Épicerie
49,img_49,1280,0.2826698,1280,Jouets enfant
50,img_50,40,0.7275976,40,Jeux consoles neuf
51,img_51,2705,0.90913177,2705,Livres neufs
52,img_52,1280,0.82873106,1560,Jouets enfant
53,img_53,2403,0.75456685,2403,Lots livres et magazines
54,img_54,2582,0.393088,2582,Mobilier et accessoires de jardin
55,img_55,40,0.41338655,1160,Jeux consoles neuf
56,img_56,1302,0.49807477,1302,Jeux et accessoires de plein air
57,img_57,60,0.9129868,60,Consoles de jeux
58,img_58,2905,0.97582644,2905,Jeux PC en téléchargement
59,img_59,40,0.4984089,40,Jeux consoles neuf
60,img_60,2583,0.9915587,2583,Piscine et accessoires
61,img_61,2583,0.19593051,2403,Piscine et accessoires
62,img_62,1281,0.20876518,1281,Jeux enfant
63,img_63,2522,0.29036102,1560,Fournitures papeterie
64,img_64,2583,0.82378626,2583,Piscine et accessoires
65,img_65,2583,0.90432125,2583,Piscine et accessoires
66,img_66,1920,0.706106,1920,Linge de maison
67,img_67,2060,0.938974,2060,Décoration
68,img_68,2060,0.22338533,2585,Décoration
