original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,1140,0.32530093,1301,Objets pop culture
1,img_1,2060,0.72543645,1560,Décoration
2,img_2,1300,0.2673983,2583,Modélisme
3,img_3,1160,0.99592304,1160,Cartes de jeux
4,img_4,10,0.8180069,2403,Livres occasion
5,img_5,40,0.43806136,10,Jeux consoles neuf
6,img_6,2060,0.8402787,2060,Décoration
7,img_7,2583,0.9655613,2583,Piscine et accessoires
8,img_8,1140,0.27970922,40,Objets pop culture
9,img_9,2905,0.98893917,2905,Jeux PC en téléchargement
10,img_10,2522,0.2772469,1280,Fournitures papeterie
11,img_11,2280,0.48591116,2280,Journaux et revues occasion
12,img_12,2522,0.72384113,2522,Fournitures papeterie
13,img_13,2280,0.41340742,2280,Journaux et revues occasion
14,img_14,2280,0.5086747,2280,Journaux et revues occasion
15,img_15,1281,0.33295417,1560,Jeux enfant
16,img_16,2522,0.98491794,2522,Fournitures papeterie
17,img_17,2403,0.17329654,1920,Lots livres et magazines
18,img_18,2280,0.9989808,2280,Journaux et revues occasion
19,img_19,2585,0.32881042,2585,Outillage de jardin
20,img_20,2060,0.8841971,1280,Décoration
21,img_21,2280,0.9375775,2280,Journaux et revues occasion
22,img_22,1140,0.2652226,1280,Objets pop culture
23,img_23,2280,0.2497544,1281,Journaux et revues occasion
24,img_24,10,0.22906443,1940,Livres occasion
25,img_25,1560,0.88368195,1560,Mobilier
26,img_26,2705,0.52078354,2403,Livres neufs
27,img_27,1300,0.8713429,1300,Modélisme
28,img_28,2403,0.9614907,2280,Lots livres et magazines
29,img_29,1140,0.31794128,2583,Objets pop culture
30,img_30,2403,0.35285944,2462,Lots livres et magazines
31,img_31,1320,0.2608577,1280,Puériculture
32,img_32,40,0.5525173,40,Jeux consoles neuf
33,img_33,40,0.6575891,2280,Jeux consoles neuf
34,img_34,1300,0.6803219,1300,Modélisme
35,img_35,1160,0.9927901,1160,Cartes de jeux
36,img_36,2280,0.38331023,1160,Journaux et revues occasion
37,img_37,1320,0.5418649,1320,Puériculture
38,img_38,2060,0.78953636,1920,Décoration
39,img_39,1281,0.19115014,2060,Jeux enfant
40,img_40,40,0.80895793,1140,Jeux consoles neuf
41,img_41,1300,0.95655787,1300,Modélisme
42,img_42,2705,0.74496406,2705,Livres neufs
43,img_43,1140,0.6567263,1140,Objets pop culture
44,img_44,2582,0.9479747,2582,Mobilier et accessoires de jardin
45,img_45,50,0.9750167,50,Accessoires gaming
46,img_46,1281,0.3609273,1140,Jeux enfant
47,img_47,50,0.73988056,2583,Accessoires gaming
48,img_48,1940,0.9971295,1940,Épicerie
49,img_49,1280,0.6188951,1280,Jouets enfant
50,img_50,40,0.9878824,40,Jeux consoles neuf
51,img_51,2705,0.9981615,2705,Livres neufs
52,img_52,1302,0.26667643,1560,Jeux et accessoires de plein air
53,img_53,2403,0.91109943,2403,Lots livres et magazines
54,img_54,2582,0.84228724,2582,Mobilier et accessoires de jardin
55,img_55,60,0.5816554,1160,Consoles de jeux
56,img_56,2582,0.384531,1302,Mobilier et accessoires de jardin
57,img_57,60,0.85805726,60,Consoles de jeux
58,img_58,2905,0.9976973,2905,Jeux PC en téléchargement
59,img_59,40,0.41336444,40,Jeux consoles neuf
60,img_60,2583,0.998139,2583,Piscine et accessoires
61,img_61,2060,0.27295995,2403,Décoration
62,img_62,1281,0.50527203,1281,Jeux enfant
63,img_63,2582,0.3619612,1560,Mobilier et accessoires de jardin
64,img_64,2583,0.27216563,2583,Piscine et accessoires
65,img_65,2583,0.8085954,2583,Piscine et accessoires
66,img_66,1920,0.9515308,1920,Linge de maison
67,img_67,2060,0.9203657,2060,Décoration
68,img_68,2060,0.419232,2585,Décoration
69,img_69,1320,0.6494118,1320,Puériculture
70,img_70,1920,0.99792033,1920,Linge de maison
71,img_71,2060,0.34715155,2583,Décoration
72,img_72,1280,0.8267959,1920,Jouets enfant
73,img_73,2705,0.9839857,2705,Livres neufs
74,img_74,10,0.7546723,2280,Livres occasion
75,img_75,1320,0.7844311,1320,Puériculture
76,img_76,2583,0.9936347,2583,Piscine et accessoires
77,img_77,2585,0.4545884,2583,Outillage de jardin
78,img_78,2522,0.7685115,2522,Fournitures papeterie
79,img_79,40,0.9252897,40,Jeux consoles neuf
80,img_80,2583,0.505401,2583,Piscine et accessoires
81,img_81,2280,0.33598644,10,Journaux et revues occasion
82,img_82,1560,0.5077469,1560,Mobilier
83,img_83,2280,0.55659,2280,Journaux et revues occasion
84,img_84,1920,0.29370162,2522,Linge de maison
85,img_85,1300,0.9682252,1300,Modélisme
86,img_86,1920,0.99324787,1920,Linge de maison
87,img_87,1560,0.1690726,1300,Mobilier
88,img_88,2462,0.30672392,1160,Console et Jeux vidéos occasion
89,img_89,2280,0.6523955,2403,Journaux et revues occasion
90,img_90,2403,0.9186259,2403,Lots livres et magazines
91,img_91,1300,0.9874068,1280,Modélisme
92,img_92,2583,0.70529246,2583,Piscine et accessoires
93,img_93,2582,0.45100456,1560,Mobilier et accessoires de jardin
94,img_94,2585,0.5613075,1301,Outillage de jardin
95,img_95,50,0.3717002,2462,Accessoires gaming
96,img_96,1560,0.97781664,1560,Mobilier
97,img_97,2522,0.90089256,2522,Fournitures papeterie
98,img_98,1301,0.83624995,1301,Lingerie enfant et jeu de bar
99,img_99,2582,0.36156863,2582,Mobilier et accessoires de jardin
100,img_100,2522,0.55371547,2522,Fournitures papeterie
101,img_101,2585,0.39620918,1320,Outillage de jardin
102,img_102,1281,0.2822947,1280,Jeux enfant
103,img_103,1320,0.46246243,1320,Puériculture
104,img_104,1920,0.99595225,1920,Linge de maison
105,img_105,50,0.3931219,50,Accessoires gaming
106,img_106,50,0.3768695,2583,Accessoires gaming
107,img_107,1160,0.9950688,1160,Cartes de jeux
108,img_108,1940,0.81709176,1940,Épicerie
109,img_109,2905,0.8758253,2905,Jeux PC en téléchargement
110,img_110,1302,0.5190101,1302,Jeux et accessoires de plein air
111,img_111,2462,0.4006897,2280,Console et Jeux vidéos occasion
112,img_112,1281,0.43014595,1281,Jeux enfant
113,img_113,2583,0.92509544,2583,Piscine et accessoires
114,img_114,2403,0.7807799,1281,Lots livres et magazines
115,img_115,2220,0.9953015,2220,Animalerie
116,img_116,1300,0.9763823,1300,Modélisme
117,img_117,1140,0.95209575,1140,Objets pop culture
118,img_118,50,0.4801487,1300,Accessoires gaming
119,img_119,10,0.92716914,2705,Livres occasion
120,img_120,2220,0.3612604,2522,Animalerie
121,img_121,1320,0.8150667,1320,Puériculture
122,img_122,2583,0.94474894,2583,Piscine et accessoires
123,img_123,1300,0.9753195,1300,Modélisme
124,img_124,2583,0.99725777,2583,Piscine et accessoires
125,img_125,1300,0.34111616,1300,Modélisme
126,img_126,1140,0.99368155,1140,Objets pop culture
127,img_127,1300,0.94430864,1300,Modélisme
128,img_128,1160,0.96655476,1160,Cartes de jeux
129,img_129,2280,0.9997826,2280,Journaux et revues occasion
130,img_130,1160,0.8428491,1160,Cartes de jeux
131,img_131,2583,0.9834241,2583,Piscine et accessoires
132,img_132,2060,0.5225999,1560,Décoration
133,img_133,1920,0.9925458,1920,Linge de maison
134,img_134,2060,0.49618167,2060,Décoration
135,img_135,2522,0.9126623,2585,Fournitures papeterie
136,img_136,1300,0.66697836,1280,Modélisme
137,img_137,1140,0.38006514,1140,Objets pop culture
138,img_138,1301,0.98917234,1301,Lingerie enfant et jeu de bar
139,img_139,60,0.97726154,60,Consoles de jeux
140,img_140,2280,0.79439163,2280,Journaux et revues occasion
141,img_141,2462,0.36278006,2280,Console et Jeux vidéos occasion
142,img_142,40,0.80040264,60,Jeux consoles neuf
143,img_143,1320,0.8566021,1560,Puériculture
144,img_144,10,0.5728411,2280,Livres occasion
145,img_145,1300,0.80353236,1280,Modélisme
146,img_146,1300,0.8962716,1300,Modélisme
147,img_147,1160,0.98972476,1160,Cartes de jeux
148,img_148,50,0.37706432,1140,Accessoires gaming
149,img_149,2582,0.9645278,2582,Mobilier et accessoires de jardin
150,img_150,1940,0.8901744,1940,Épicerie
151,img_151,2280,0.99278,2280,Journaux et revues occasion
152,img_152,1920,0.9947712,1920,Linge de maison
153,img_153,2905,0.99868375,2905,Jeux PC en téléchargement
154,img_154,1302,0.2739616,2220,Jeux et accessoires de plein air
155,img_155,1560,0.95961064,1560,Mobilier
156,img_156,1280,0.35549775,2582,Jouets enfant
157,img_157,2522,0.94640696,2522,Fournitures papeterie
158,img_158,1280,0.9616367,1300,Jouets enfant
159,img_159,1920,0.60195875,1920,Linge de maison
160,img_160,1302,0.65634584,2220,Jeux et accessoires de plein air
161,img_161,2280,0.9990983,2280,Journaux et revues occasion
162,img_162,1302,0.95688033,1302,Jeux et accessoires de plein air
163,img_163,2585,0.3201357,2060,Outillage de jardin
164,img_164,1140,0.8197152,1140,Objets pop culture
165,img_165,1300,0.97384554,1300,Modélisme
166,img_166,2522,0.97726953,2522,Fournitures papeterie
167,img_167,10,0.45692748,10,Livres occasion
168,img_168,2060,0.21626008,1560,Décoration
169,img_169,2705,0.4786496,2280,Livres neufs
170,img_170,1300,0.90107864,1300,Modélisme
171,img_171,10,0.99948263,10,Livres occasion
172,img_172,40,0.5428754,1281,Jeux consoles neuf
173,img_173,1140,0.7610102,2060,Objets pop culture
174,img_174,2905,0.72347337,2905,Jeux PC en téléchargement
175,img_175,1302,0.17321062,2060,Jeux et accessoires de plein air
176,img_176,2583,0.6420766,2583,Piscine et accessoires
177,img_177,1160,0.897903,1160,Cartes de jeux
178,img_178,40,0.91911346,40,Jeux consoles neuf
179,img_179,2522,0.7122044,2522,Fournitures papeterie
180,img_180,10,0.91151977,2403,Livres occasion
181,img_181,1281,0.3786948,40,Jeux enfant
182,img_182,2522,0.37977937,2522,Fournitures papeterie
183,img_183,2403,0.94083184,2280,Lots livres et magazines
184,img_184,1280,0.22249609,1300,Jouets enfant
185,img_185,50,0.38565457,2582,Accessoires gaming
186,img_186,1320,0.40189162,1302,Puériculture
187,img_187,1160,0.9927279,1160,Cartes de jeux
188,img_188,2585,0.8104147,2585,Outillage de jardin
189,img_189,1302,0.68798715,2583,Jeux et accessoires de plein air
190,img_190,1300,0.9338428,1300,Modélisme
191,img_191,1300,0.5043513,1302,Modélisme
192,img_192,1302,0.2841817,1281,Jeux et accessoires de plein air
193,img_193,1302,0.1519452,1320,Jeux et accessoires de plein air
194,img_194,2585,0.32479832,40,Outillage de jardin
195,img_195,1140,0.280953,1140,Objets pop culture
196,img_196,2522,0.27236897,40,Fournitures papeterie
197,img_197,2403,0.36966884,2280,Lots livres et magazines
198,img_198,2403,0.8202231,2280,Lots livres et magazines
199,img_199,40,0.63764805,2403,Jeux consoles neuf
200,img_200,1140,0.3345501,1560,Objets pop culture
201,img_201,1920,0.9942767,1920,Linge de maison
202,img_202,2280,0.9925689,2280,Journaux et revues occasion
203,img_203,1320,0.48521593,2583,Puériculture
204,img_204,2582,0.26921186,1280,Mobilier et accessoires de jardin
205,img_205,2522,0.994538,2522,Fournitures papeterie
206,img_206,2060,0.7499877,1920,Décoration
207,img_207,2462,0.8684816,50,Console et Jeux vidéos occasion
