sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,correct,text_sample
0,1301,Lingerie enfant et jeu de bar,1301,Lingerie enfant et jeu de bar,0.9996338425538217,True,Bas de filles pour les enfants Enfants Collant Coton bébé Stocking BK L-Auucne Filles Bas Enfants En...
1,1560,Mobilier,1560,Mobilier,0.7539592937355418,True,Cosmic Planète Series En Peluche Avec Capuche Couverture Lichens Couverture À Capuchon 150x200cm Bla...
2,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999732916711022,True,dolphin - robot électrique de piscine fond parois et ligne d'eau avec chariot master e4 dolphin dolp...
3,1160,Cartes de jeux,1160,Cartes de jeux,0.9950873600442336,True,Haydaim  14/114 Pokemon Noir Et Blanc 
4,2403,Lots livres et magazines,2403,Lots livres et magazines,0.9174092867899712,True,Lot 4 Livres Partitions Piano Bach (Busoni) - Le Clavier Bien Tempéré Band 1 Vol 1 & 2 & 3 & 4 (Bwv ...
5,10,Livres occasion,2705,Livres neufs,0.8239701232323298,False,Le Silence Des Anges 
6,2060,Décoration,2060,Décoration,0.9775799491264162,True,5d Broderie Peintures Strass Diamant Bricolage Pasted Peinture Point De Croix 5D broderie Peintures ...
7,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999103912856245,True,Pompe de Piscine 9000l/h Circulation 140W avec Filtre Helloshop26 3116053 <p>SunSun Pompe de Piscine...
8,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.7666405621554062,False,Assassin's Creed Revelations Collectors Edition [Jeu Xbox 360] 
9,2905,Jeux PC en téléchargement,2905,Jeux PC en téléchargement,0.9993591386900583,True,Enigmes Et Objets Cachés : La Malédiction De Sang - Jeu En Téléchargement <b>Partez à la poursuite d...
10,1280,Jouets enfant,1280,Jouets enfant,0.7135560015109514,True,Track Curve 18 18 Pair The track that comes with your AFX set is just the tip of the iceberg. The va...
11,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.996331796372842,True,Touring Club De France N° 835 Du 01/03/1972 HOMMAGE A LA BRETAGNE.
12,2522,Fournitures papeterie,2522,Fournitures papeterie,0.9939814218577,True,Kit Pour Confectionner 3 Pompons De 20 Cm Soit 24 Feuilles De Papier De Soie Bleu Marine kit de 24 f...
13,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.9879335213917839,True,Construction Moderne (La) N° 42 Du 16/07/1933 - Les Grandes Eaux De Versailles. 
14,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.38182174513749567,False,Carola - Jean Renoir - Leslie Caron - 1973 - Avant-Scène Théâtre N° 597 
15,1560,Mobilier,1560,Mobilier,0.866783713970201,True,Bricolage Chocolat Moule De Cuisson En Silicone Noël Biscuit Gélifiés Cuisson Kitchen Supplies 9546 ...
16,2522,Fournitures papeterie,2522,Fournitures papeterie,0.9884351168477887,True,Paper:Mate Lot De 12 Stylos À Bille Inkjoy 100 Couleur De Tracé: Bleu Paper:Mate Stylo à bille InkJo...
17,1920,Linge de maison,1920,Linge de maison,0.8205328770469233,True,Belle Scène Scenery Home Textile Mur Tapisserie Home Decor@Hpp4456 Belle Scène Scenery Home Textile ...
18,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.9821196053620505,True,France Soir N° 16875 Du 06/11/1998 - Dopage - Le Tour De France - Amerique Centrale - Cycloe - Seism...
19,2585,Outillage de jardin,2583,Piscine et accessoires,0.6208232224920791,False,BATI JET' PRO - Pulvérisateur Electrique Autonome Fonctionne sur batterie rechargeable. Autonomie en...
20,1280,Jouets enfant,1280,Jouets enfant,0.42734607324519297,True,Bas De Noël 18 Pouces Avec Grand Flocon De Neige Bas Plaid Pour Candy Hu6014 Bas de Noël 18 __gVirt_...
21,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.75755718333604,True,Je Fais Tout N° 169 Du 06/07/1932 - La Constitution D'un Materiel Complet Pour Le Cyclo-Camping La C...
22,1280,Jouets enfant,1280,Jouets enfant,0.3615219742611831,True,1/6 Femme Corps Nu 19 Joints 4 Paires Mains Décor Pour Poupée 12 '' Blythe Néo Takara Magideal <p><b...
23,1281,Jeux enfant,1281,Jeux enfant,0.37445266570442903,True,Pegasus Spiele Brains - Japanischer Garten Board Game pIt is not as easy as it seems to lay out the ...
24,1940,Épicerie,1940,Épicerie,0.9995703820250476,True,Goldmännchen Thé Fleurs De Bach Patience & Sérénité 20 Sachets De Thé Un thé rooibos bio naturelleme...
25,1560,Mobilier,1560,Mobilier,0.9886944259563325,True,Matelas Latex 80 Kg/M3 + Aertech+ 35 Kg/M3 + Alèse 80x200 X 20 Cm Souple 7 Zones De Confort - Très R...
26,2403,Lots livres et magazines,2403,Lots livres et magazines,0.5137164788550894,True,Catalogue Phildar N°607 Modèles D'accessoires Femme À Tricoter 
27,1300,Modélisme,1300,Modélisme,0.8154779212587083,True,01:20 2.4g Télécommande Hors Route Monste Camion À Grande Vitesse Rtr Rc Voiture Jouet 25 Kmh @Uapav...
28,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.9385963328819046,False,Sharon Stone : Lot De Coupures De Presse 
29,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999992623031803,True,Traitement Mensuel eau de piscine Entretien 4en1 POLPO'O Piscines avec ou sans filtration piscine SP...
30,2462,Console et Jeux vidéos occasion,50,Accessoires gaming,0.9464101207408576,False,Skylanders Giants + Le Plateau 
31,1280,Jouets enfant,1280,Jouets enfant,0.4022237872241144,True,Petshop Parc Jardin Avec 2 Petshops Singes 1 Pastèque 1 Assiette Biscuit Et 1 Gamelle 
32,40,Jeux consoles neuf,40,Jeux consoles neuf,0.9833363142270614,True,Lego Batman [Import Italien] [Jeu Ps2] <br>Attention !!! Ce produit est un import  si les informatio...
33,2280,Journaux et revues occasion,10,Livres occasion,0.27831304439616467,False,Midam Kid Paddle Plan De Communication 2007 
34,1300,Modélisme,1300,Modélisme,0.9566522536543556,True,Bus The Londoner K15 1/43-Matchbox 
35,1160,Cartes de jeux,1160,Cartes de jeux,0.7838420185773153,True,Quartiers Du Déserteur &#43; Sentinelle Forgée D&#39;Or &#43; Fiole De L&#39;Alchimiste &#43; Étendu...
36,1160,Cartes de jeux,1160,Cartes de jeux,0.9937626575682933,True,Yu Yu Hakusho N°126 
37,1320,Puériculture,1320,Puériculture,0.9876480313209206,True,Monsieur Bébé ® Siège Auto Rehausseur Noir Et Rouge Groupe 2 Et 3 - De 15kg À 36kg - Norme Ece R44/0...
38,1920,Linge de maison,1920,Linge de maison,0.9563244158142397,True,Éponte Tapisserie Mur Couvre-Lit Serviette De Plage Tapis Couverture Table@Hpp1734 Bohême Mandala mu...
39,2060,Décoration,2060,Décoration,0.9561046291349589,True,Jour Non-Slip De Bain 3pcs Père Tapis De Bain Cuisine Tapis Paillassons Décor Shen 472 3pcs Jour Non...
40,1140,Objets pop culture,1140,Objets pop culture,0.6604260356786571,True,Star Wars (The Power Of The Force) - Kenner - Electronic Rebel Snowspeeder 
41,1300,Modélisme,1300,Modélisme,0.9963734749745252,True,2en1 Multi Batterie Intelligente Recharge Rapide + 2 Batterie Pour Dji Tello Drone@Hpp3201-Générique...
42,2705,Livres neufs,2705,Livres neufs,0.9083481920976303,True,La Réincarnation Selon Le Spiritisme Peut-on trouver un sens &agrave; la vie dans la r&eacute;incarn...
43,1140,Objets pop culture,1280,Jouets enfant,0.46759450780506195,False,Lot De 2 Figurines La Petite Sirene Et Le Crabe 
44,2582,Mobilier et accessoires de jardin,2582,Mobilier et accessoires de jardin,0.9360019691506263,True,Soucoupe Ø 34.50 Cm Pour Pot Ø 44 46 Et 48 Cm -Taupe Cette soucoupe s&#39;adapte pour les pots de la...
45,50,Accessoires gaming,50,Accessoires gaming,0.9854377374231477,True,Pour Ns Switch / Commutateur Hdmi Vidéo Lite Hôte De Charge Station D'accueil Conversion Tenales Pou...
46,1140,Objets pop culture,1140,Objets pop culture,0.8632542885459348,True,Dragon Ball Z Ichiban Kuji Songoku Super Instinct 
47,2583,Piscine et accessoires,2583,Piscine et accessoires,0.619867029807136,True,Jeu de sonde avec câblage pour ligne d'eau Ce jeu de sonde d&#39;une longueur de un mètre pour ligne...
48,1940,Épicerie,1940,Épicerie,0.9997215356743485,True,Eric Bur Epices Piment De Jamaique - 32g ERIC BUR Epices Piment De Jamaique - 32g - ERIC BUR Epices ...
49,1280,Jouets enfant,1280,Jouets enfant,0.9547795335224313,True,Real Newborn Handmade Lifelike Baby Doll Silicone Clothes Body 22'' 55cm Xmas Gizen8836 Real Newborn...
50,40,Jeux consoles neuf,40,Jeux consoles neuf,0.9898071730774608,True,Mac-Compilation [Import Allemand] [Jeu Mac] <br>Attention !!! Ce produit est un import  si les infor...
51,2705,Livres neufs,2705,Livres neufs,0.991028046749077,True,Dracula Ou La Croisade Des Temps Modernes Voici un thriller philosophique. Le roman mythique de Bram...
52,1560,Mobilier,1560,Mobilier,0.8870453923773539,True,Halloween Pumpkin Dentelle Laser Coupe Cupcake Wrapper Liner De Cuisson Coupe Muffin Vendu En Magasi...
53,2403,Lots livres et magazines,2403,Lots livres et magazines,0.9659357853424619,True,Lot De 5 Revues National Geographic Version Américaine Année 2001 
54,2582,Mobilier et accessoires de jardin,2582,Mobilier et accessoires de jardin,0.934960083538488,True,Pot Blanc En Céramique Pour Plantes 24 Cm 
55,1160,Cartes de jeux,1160,Cartes de jeux,0.6505921414372224,True,Carte De Jeux Disney 127/180 - Auchan 
56,1302,Jeux et accessoires de plein air,1302,Jeux et accessoires de plein air,0.8414803175865126,True,Squishies Gâteau Kawaii Arc-En-Jumbo Rising Lent Squishies De Fromage Parfumé Squishies Gâteau arc-J...
57,60,Consoles de jeux,60,Consoles de jeux,0.9980820071540991,True,"2019 Nouveau 16 Gb Pap Ii Plus 4.3 \""""Lecteur De Jeu Portable 64bit Pap Gameta Pmp Psp Intégré 3000 ..."
58,2905,Jeux PC en téléchargement,2905,Jeux PC en téléchargement,0.9878928954179567,True,Christmas Stories: Le Cadeau Des Mages - Jeu En Téléchargement <p>Tous les enfants sur la bonne list...
59,40,Jeux consoles neuf,40,Jeux consoles neuf,0.7505157680103358,True,Borderlands Ii - Pack Contenu Additionnel 
60,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9992428755903672,True,Piscine hors sol en acier ovale 5x3x132m GRE - KITPROV508PO Kit piscine paroi acier d&eacute;montabl...
61,2403,Lots livres et magazines,2403,Lots livres et magazines,0.996051308083238,True,Lot De 5 Marque-Pages Beaux Paysages N°3 Sur Papier Photo 
62,1281,Jeux enfant,1281,Jeux enfant,0.5596149981747318,True,Feculent Gnarlaw 83-53 - Warhammer Age Of Sigmar Partout où les servants de Nurgle se regroupent en ...
63,1560,Mobilier,1560,Mobilier,0.8795993539689497,True,"Paris Prix - Bureau Inclinable 1 Tiroir ""Ulrik"" 110cm Blanc Informations Techniques :<ul><li><strong..."
64,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9981367633160196,True,ECSTATIC - Spa 7 places balboa 305x228cm Materiaux: COQUE ARISTECH. 305x228x91cm. Liste des Caractér...
65,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9992321026375193,True,Douche solaire Noir 214 cm 9 L <p>Profitez d&#39;une douche chaude au bord de la piscine ou dans le ...
66,1920,Linge de maison,1920,Linge de maison,0.9607535368187728,True,S4sassy Canard Coton Feuilles Bavoir Pour Barbecue De Chef-24 X 32 Pouces <p>* Ces tabliers colorés ...
67,2060,Décoration,2060,Décoration,0.9832002056883056,True,5d Broderie Peintures Strass Bricolage Pasted Full Diamond Peinture 5D broderie Peintures strass bri...
68,2585,Outillage de jardin,2060,Décoration,0.4044277637941182,False,Halloween Masque bouche d'horreur effrayant visage Fancy dents Zombies cadeau sanglant Horrific okad...
69,1320,Puériculture,1320,Puériculture,0.9961535340666531,True,Mode Féminine Contraste Sac À Bandoulière Couleur De La Chaîne Diagonale Croix De Sac À Main Bt2010 ...
70,1920,Linge de maison,2060,Décoration,0.9574123795067975,False,Taie Canapé Voiture Taille Throw Coussin Décoration Pillow Case 24098 Taie Sofa taille voiture Throw...
71,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9997099459547188,True,Matelas de piscine Cocktail Cubain - Intex Matelas de piscine Cocktail de la marque Intex.? Matière ...
72,1920,Linge de maison,1920,Linge de maison,0.9655879569976743,True,Oreiller Cou Coussin De VoyageOreiller Mignon De Cou De Coussin De Dessin Animé Magideal <p><b>La de...
73,2705,Livres neufs,2705,Livres neufs,0.9716830381956654,True,Facebook Twitter Et Les Autres Sur 37 milliards d'internautes dans le monde 27 milliards sont connec...
74,2280,Journaux et revues occasion,2705,Livres neufs,0.8183933577655136,False,La Hulotte N° 9 - Comment Bague-T-On Les Oiseaux ? Un Lerot En Cour D'assises Les Malheures De La Hu...
75,1320,Puériculture,1320,Puériculture,0.9622138488560774,True,Tapis Lapin Gris Tapis Éveil Jeu Bébé Rond Animaux Moquette Enfant Tapis Chambre Bebe Fille Garcon 1...
76,2583,Piscine et accessoires,2583,Piscine et accessoires,0.998584738291729,True,Pompe filtration STA-RITE Série SW5P6R 15 cv tri - Eau de mer Les principaux atouts de la Pompe filt...
77,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9911238579954309,True,Chauffage électrique 2 kw pour dolce 75 Design italien et technologie de pointe optez pour Dolce par...
78,2522,Fournitures papeterie,2522,Fournitures papeterie,0.9993915433134458,True,"Avery Zweckform Lot De 5 Bloc-Notes ""Notizio"" A4 Quadrillé Pp AVERY Zweckform Bloc-notes &#34;Notizi..."
79,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.8850011929785003,False,Fifa 16 - Xbox 360 FIFA 16 - Xbox 360
80,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9992826133001547,True,Échelle Murale pour Piscine Enterrée Gre 40274 Complétez votre piscine enterrée avec un élément de h...
81,10,Livres occasion,10,Livres occasion,0.3159372548622673,True,I Saw Her Standing There 
82,1560,Mobilier,1560,Mobilier,0.9853955292097182,True,Canapé 2 Places Gris En Polyester Imitation Cuir Lokka <b>Canapé 2 places gris au style rétro en pol...
