sample_id,true_label,true_class_name,text_prediction,text_class_name,text_confidence,text_correct,image_prediction,image_class_name,image_confidence,image_correct,fused_prediction,fused_class_name,fused_confidence,fused_correct,fusion_strategy,agreement_text_image,best_individual,fusion_improved
0,1301,Lingerie enfant et jeu de bar,1301,Lingerie enfant et jeu de bar,0.9996338425538217,True,1140,Objets pop culture,0.32530093,False,10,Livres occasion,0.6358708322621152,False,weighted,False,text,False
1,1560,Mobilier,1560,Mobilier,0.7539592937355418,True,2060,Décoration,0.72543645,False,13,Unknown_13,0.46807018701584213,False,weighted,False,text,False
2,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999732916711022,True,1300,Modélisme,0.2673983,False,23,Unknown_23,0.6905141395424753,False,weighted,False,text,False
3,1160,Cartes de jeux,1160,Cartes de jeux,0.9950873600442336,True,1160,Cartes de jeux,0.99592304,True,5,Unknown_5,0.9954216389059499,False,weighted,True,image,False
4,2403,Lots livres et magazines,2403,Lots livres et magazines,0.9174092867899712,True,10,Livres occasion,0.8180069,False,19,Unknown_19,0.5985089434044824,False,weighted,False,text,False
5,10,Livres occasion,2705,Livres neufs,0.8239701232323298,False,40,Jeux consoles neuf,0.43806136,False,25,Unknown_25,0.5163315551584511,False,weighted,False,text,False
6,2060,Décoration,2060,Décoration,0.9775799491264162,True,2060,Décoration,0.8402787,True,16,Unknown_16,0.9226594554339491,False,weighted,True,text,False
7,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999103912856245,True,2583,Piscine et accessoires,0.9655435,True,23,Unknown_23,0.9861636501041688,False,weighted,True,text,False
8,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.7666405621554062,False,1140,Objets pop culture,0.27970922,False,20,Unknown_20,0.4633820576934877,False,weighted,False,text,False
9,2905,Jeux PC en téléchargement,2905,Jeux PC en téléchargement,0.9993591386900583,True,2905,Jeux PC en téléchargement,0.98893917,True,26,Unknown_26,0.9951911556021118,False,weighted,True,text,False
10,1280,Jouets enfant,1280,Jouets enfant,0.7135560015109514,True,2522,Fournitures papeterie,0.2772469,False,7,Unknown_7,0.4341561953100464,False,weighted,False,text,False
11,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.996331796372842,True,2280,Journaux et revues occasion,0.48591116,True,18,Unknown_18,0.7921635510473913,False,weighted,True,text,False
12,2522,Fournitures papeterie,2522,Fournitures papeterie,0.9939814218577,True,2522,Fournitures papeterie,0.72384113,True,21,Unknown_21,0.8859252994475515,False,weighted,True,text,False
13,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.9879335213917839,True,2280,Journaux et revues occasion,0.41340742,True,18,Unknown_18,0.758123081875941,False,weighted,True,text,False
14,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.38182174513749567,False,2280,Journaux et revues occasion,0.5086747,True,18,Unknown_18,0.39634666060276047,False,weighted,False,image,False
15,1560,Mobilier,1560,Mobilier,0.866783713970201,True,1281,Jeux enfant,0.33295417,False,13,Unknown_13,0.5411615088871817,False,weighted,False,text,False
16,2522,Fournitures papeterie,2522,Fournitures papeterie,0.9884351168477887,True,2522,Fournitures papeterie,0.98491794,True,21,Unknown_21,0.9870282515528414,False,weighted,True,text,False
17,1920,Linge de maison,1920,Linge de maison,0.8205328770469233,True,2403,Lots livres et magazines,0.17329654,False,14,Unknown_14,0.5589481152886513,False,weighted,False,text,False
18,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.9821196053620505,True,2280,Journaux et revues occasion,0.9989808,True,18,Unknown_18,0.9888641032097535,False,weighted,True,image,False
19,2585,Outillage de jardin,2583,Piscine et accessoires,0.6208232224920791,False,2585,Outillage de jardin,0.32881042,True,24,Unknown_24,0.5040181089007498,False,weighted,False,text,False
20,1280,Jouets enfant,1280,Jouets enfant,0.42734607324519297,True,2060,Décoration,0.8841971,False,16,Unknown_16,0.4613280752819197,False,weighted,False,image,False
21,2280,Journaux et revues occasion,2280,Journaux et revues occasion,0.75755718333604,True,2280,Journaux et revues occasion,0.9375775,True,18,Unknown_18,0.8295653044169072,False,weighted,True,image,False
22,1280,Jouets enfant,1280,Jouets enfant,0.3615219742611831,True,1140,Objets pop culture,0.2652226,False,7,Unknown_7,0.305863326821076,False,weighted,False,text,False
23,1281,Jeux enfant,1281,Jeux enfant,0.37445266570442903,True,2280,Journaux et revues occasion,0.2497544,False,8,Unknown_8,0.24619777974745644,False,weighted,False,text,False
24,1940,Épicerie,1940,Épicerie,0.9995703820250476,True,10,Livres occasion,0.22906443,False,15,Unknown_15,0.658122512630346,False,weighted,False,text,False
25,1560,Mobilier,1560,Mobilier,0.9886944259563325,True,1560,Mobilier,0.88368195,True,13,Unknown_13,0.9466894546365283,False,weighted,True,text,False
26,2403,Lots livres et magazines,2403,Lots livres et magazines,0.5137164788550894,True,2705,Livres neufs,0.52078354,False,19,Unknown_19,0.313420192259208,False,weighted,False,image,False
27,1300,Modélisme,1300,Modélisme,0.8154779212587083,True,1300,Modélisme,0.8713429,True,9,Unknown_9,0.8378239296026828,False,weighted,True,image,False
28,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.9385963328819046,False,2403,Lots livres et magazines,0.9614907,False,19,Unknown_19,0.9477540879333358,False,weighted,True,image,False
29,2583,Piscine et accessoires,2583,Piscine et accessoires,0.9999992623031803,True,1140,Objets pop culture,0.31794128,False,23,Unknown_23,0.6068775333859424,False,weighted,False,text,False
30,2462,Console et Jeux vidéos occasion,50,Accessoires gaming,0.9464101207408576,False,2403,Lots livres et magazines,0.35285944,False,2,Unknown_2,0.5779452292041939,False,weighted,False,text,False
31,1280,Jouets enfant,1280,Jouets enfant,0.4022237872241144,True,1320,Puériculture,0.2608577,False,7,Unknown_7,0.32106604219425944,False,weighted,False,text,False
32,40,Jeux consoles neuf,40,Jeux consoles neuf,0.9833363142270614,True,40,Jeux consoles neuf,0.5525173,True,1,Unknown_1,0.8110087035094957,False,weighted,True,text,False
33,2280,Journaux et revues occasion,10,Livres occasion,0.27831304439616467,False,40,Jeux consoles neuf,0.6575891,False,1,Unknown_1,0.28080569463164573,False,weighted,False,image,False
34,1300,Modélisme,1300,Modélisme,0.9566522536543556,True,1300,Modélisme,0.6803219,True,9,Unknown_9,0.8461201130072801,False,weighted,True,text,False
35,1160,Cartes de jeux,1160,Cartes de jeux,0.7838420185773153,True,1160,Cartes de jeux,0.9927901,True,5,Unknown_5,0.8674212463693963,False,weighted,True,image,False
